Binary representation,Error,Features selected,Lookup value,Penalty factor
100000000,0.5384615384615384,"(0,)",0.5484615384615384,0.01
010000000,0.523076923076923,"(1,)",0.533076923076923,0.01
001000000,0.5692307692307692,"(2,)",0.5792307692307692,0.01
000100000,0.36923076923076925,"(3,)",0.37923076923076926,0.01
000010000,0.6307692307692307,"(4,)",0.6407692307692308,0.01
000001000,0.6,"(5,)",0.61,0.01
000000100,0.523076923076923,"(6,)",0.533076923076923,0.01
000000010,0.5538461538461539,"(7,)",0.5638461538461539,0.01
000000001,0.6615384615384615,"(8,)",0.6715384615384615,0.01
110000000,0.41538461538461535,"(0, 1)",0.43538461538461537,0.01
101000000,0.36923076923076925,"(0, 2)",0.38923076923076927,0.01
100100000,0.32307692307692304,"(0, 3)",0.34307692307692306,0.01
100010000,0.49230769230769234,"(0, 4)",0.5123076923076924,0.01
100001000,0.41538461538461535,"(0, 5)",0.43538461538461537,0.01
100000100,0.4307692307692308,"(0, 6)",0.4507692307692308,0.01
100000010,0.3384615384615385,"(0, 7)",0.3584615384615385,0.01
100000001,0.5384615384615384,"(0, 8)",0.5584615384615385,0.01
011000000,0.5538461538461539,"(1, 2)",0.5738461538461539,0.01
010100000,0.32307692307692304,"(1, 3)",0.34307692307692306,0.01
010010000,0.4769230769230769,"(1, 4)",0.4969230769230769,0.01
010001000,0.5538461538461539,"(1, 5)",0.5738461538461539,0.01
010000100,0.46153846153846156,"(1, 6)",0.4815384615384616,0.01
010000010,0.5692307692307692,"(1, 7)",0.5892307692307692,0.01
010000001,0.523076923076923,"(1, 8)",0.543076923076923,0.01
001100000,0.3384615384615385,"(2, 3)",0.3584615384615385,0.01
001010000,0.4461538461538461,"(2, 4)",0.46615384615384614,0.01
001001000,0.49230769230769234,"(2, 5)",0.5123076923076924,0.01
001000100,0.3384615384615385,"(2, 6)",0.3584615384615385,0.01
001000010,0.5384615384615384,"(2, 7)",0.5584615384615385,0.01
001000001,0.5538461538461539,"(2, 8)",0.5738461538461539,0.01
000110000,0.3846153846153846,"(3, 4)",0.4046153846153846,0.01
000101000,0.36923076923076925,"(3, 5)",0.38923076923076927,0.01
000100100,0.4,"(3, 6)",0.42000000000000004,0.01
000100010,0.3846153846153846,"(3, 7)",0.4046153846153846,0.01
000100001,0.36923076923076925,"(3, 8)",0.38923076923076927,0.01
000011000,0.5384615384615384,"(4, 5)",0.5584615384615385,0.01
000010100,0.49230769230769234,"(4, 6)",0.5123076923076924,0.01
000010010,0.4769230769230769,"(4, 7)",0.4969230769230769,0.01
000010001,0.6153846153846154,"(4, 8)",0.6353846153846154,0.01
000001100,0.4307692307692308,"(5, 6)",0.4507692307692308,0.01
000001010,0.49230769230769234,"(5, 7)",0.5123076923076924,0.01
000001001,0.523076923076923,"(5, 8)",0.543076923076923,0.01
000000110,0.36923076923076925,"(6, 7)",0.38923076923076927,0.01
000000101,0.523076923076923,"(6, 8)",0.543076923076923,0.01
000000011,0.49230769230769234,"(7, 8)",0.5123076923076924,0.01
111000000,0.36923076923076925,"(0, 1, 2)",0.3992307692307693,0.01
110100000,0.2615384615384615,"(0, 1, 3)",0.2915384615384615,0.01
110010000,0.4,"(0, 1, 4)",0.43000000000000005,0.01
110001000,0.4,"(0, 1, 5)",0.43000000000000005,0.01
110000100,0.3846153846153846,"(0, 1, 6)",0.4146153846153846,0.01
110000010,0.36923076923076925,"(0, 1, 7)",0.3992307692307693,0.01
110000001,0.41538461538461535,"(0, 1, 8)",0.4453846153846154,0.01
101100000,0.3076923076923077,"(0, 2, 3)",0.33769230769230774,0.01
101010000,0.3538461538461538,"(0, 2, 4)",0.38384615384615384,0.01
101001000,0.3538461538461538,"(0, 2, 5)",0.38384615384615384,0.01
101000100,0.3076923076923077,"(0, 2, 6)",0.33769230769230774,0.01
101000010,0.3384615384615385,"(0, 2, 7)",0.3684615384615385,0.01
101000001,0.36923076923076925,"(0, 2, 8)",0.3992307692307693,0.01
100110000,0.3538461538461538,"(0, 3, 4)",0.38384615384615384,0.01
100101000,0.32307692307692304,"(0, 3, 5)",0.35307692307692307,0.01
100100100,0.36923076923076925,"(0, 3, 6)",0.3992307692307693,0.01
100100010,0.3538461538461538,"(0, 3, 7)",0.38384615384615384,0.01
100100001,0.3384615384615385,"(0, 3, 8)",0.3684615384615385,0.01
100011000,0.4307692307692308,"(0, 4, 5)",0.4607692307692308,0.01
100010100,0.4,"(0, 4, 6)",0.43000000000000005,0.01
100010010,0.36923076923076925,"(0, 4, 7)",0.3992307692307693,0.01
100010001,0.4769230769230769,"(0, 4, 8)",0.5069230769230769,0.01
100001100,0.4,"(0, 5, 6)",0.43000000000000005,0.01
100001010,0.4,"(0, 5, 7)",0.43000000000000005,0.01
100001001,0.41538461538461535,"(0, 5, 8)",0.4453846153846154,0.01
100000110,0.3384615384615385,"(0, 6, 7)",0.3684615384615385,0.01
100000101,0.4307692307692308,"(0, 6, 8)",0.4607692307692308,0.01
100000011,0.36923076923076925,"(0, 7, 8)",0.3992307692307693,0.01
011100000,0.3384615384615385,"(1, 2, 3)",0.3684615384615385,0.01
011010000,0.5076923076923077,"(1, 2, 4)",0.5376923076923077,0.01
011001000,0.49230769230769234,"(1, 2, 5)",0.5223076923076924,0.01
011000100,0.36923076923076925,"(1, 2, 6)",0.3992307692307693,0.01
011000010,0.523076923076923,"(1, 2, 7)",0.553076923076923,0.01
011000001,0.6,"(1, 2, 8)",0.63,0.01
010110000,0.3846153846153846,"(1, 3, 4)",0.4146153846153846,0.01
010101000,0.36923076923076925,"(1, 3, 5)",0.3992307692307693,0.01
010100100,0.29230769230769227,"(1, 3, 6)",0.3223076923076923,0.01
010100010,0.3538461538461538,"(1, 3, 7)",0.38384615384615384,0.01
010100001,0.32307692307692304,"(1, 3, 8)",0.35307692307692307,0.01
010011000,0.5384615384615384,"(1, 4, 5)",0.5684615384615385,0.01
010010100,0.4307692307692308,"(1, 4, 6)",0.4607692307692308,0.01
010010010,0.5384615384615384,"(1, 4, 7)",0.5684615384615385,0.01
010010001,0.4769230769230769,"(1, 4, 8)",0.5069230769230769,0.01
010001100,0.4461538461538461,"(1, 5, 6)",0.47615384615384615,0.01
010001010,0.4461538461538461,"(1, 5, 7)",0.47615384615384615,0.01
010001001,0.5538461538461539,"(1, 5, 8)",0.5838461538461539,0.01
010000110,0.36923076923076925,"(1, 6, 7)",0.3992307692307693,0.01
010000101,0.46153846153846156,"(1, 6, 8)",0.4915384615384616,0.01
010000011,0.5846153846153845,"(1, 7, 8)",0.6146153846153846,0.01
001110000,0.36923076923076925,"(2, 3, 4)",0.3992307692307693,0.01
001101000,0.36923076923076925,"(2, 3, 5)",0.3992307692307693,0.01
001100100,0.3538461538461538,"(2, 3, 6)",0.38384615384615384,0.01
001100010,0.3384615384615385,"(2, 3, 7)",0.3684615384615385,0.01
001100001,0.3538461538461538,"(2, 3, 8)",0.38384615384615384,0.01
001011000,0.46153846153846156,"(2, 4, 5)",0.4915384615384616,0.01
001010100,0.3538461538461538,"(2, 4, 6)",0.38384615384615384,0.01
001010010,0.4307692307692308,"(2, 4, 7)",0.4607692307692308,0.01
001010001,0.4461538461538461,"(2, 4, 8)",0.47615384615384615,0.01
001001100,0.3384615384615385,"(2, 5, 6)",0.3684615384615385,0.01
001001010,0.4307692307692308,"(2, 5, 7)",0.4607692307692308,0.01
001001001,0.4307692307692308,"(2, 5, 8)",0.4607692307692308,0.01
001000110,0.32307692307692304,"(2, 6, 7)",0.35307692307692307,0.01
001000101,0.3384615384615385,"(2, 6, 8)",0.3684615384615385,0.01
001000011,0.5384615384615384,"(2, 7, 8)",0.5684615384615385,0.01
000111000,0.3538461538461538,"(3, 4, 5)",0.38384615384615384,0.01
000110100,0.4,"(3, 4, 6)",0.43000000000000005,0.01
000110010,0.3538461538461538,"(3, 4, 7)",0.38384615384615384,0.01
000110001,0.3846153846153846,"(3, 4, 8)",0.4146153846153846,0.01
000101100,0.3384615384615385,"(3, 5, 6)",0.3684615384615385,0.01
000101010,0.3846153846153846,"(3, 5, 7)",0.4146153846153846,0.01
000101001,0.36923076923076925,"(3, 5, 8)",0.3992307692307693,0.01
000100110,0.3076923076923077,"(3, 6, 7)",0.33769230769230774,0.01
000100101,0.4,"(3, 6, 8)",0.43000000000000005,0.01
000100011,0.3846153846153846,"(3, 7, 8)",0.4146153846153846,0.01
000011100,0.4307692307692308,"(4, 5, 6)",0.4607692307692308,0.01
000011010,0.46153846153846156,"(4, 5, 7)",0.4915384615384616,0.01
000011001,0.5384615384615384,"(4, 5, 8)",0.5684615384615385,0.01
000010110,0.36923076923076925,"(4, 6, 7)",0.3992307692307693,0.01
000010101,0.49230769230769234,"(4, 6, 8)",0.5223076923076924,0.01
000010011,0.4769230769230769,"(4, 7, 8)",0.5069230769230769,0.01
000001110,0.41538461538461535,"(5, 6, 7)",0.4453846153846154,0.01
000001101,0.4307692307692308,"(5, 6, 8)",0.4607692307692308,0.01
000001011,0.49230769230769234,"(5, 7, 8)",0.5223076923076924,0.01
000000111,0.36923076923076925,"(6, 7, 8)",0.3992307692307693,0.01
111100000,0.27692307692307694,"(0, 1, 2, 3)",0.3169230769230769,0.01
111010000,0.36923076923076925,"(0, 1, 2, 4)",0.40923076923076923,0.01
111001000,0.36923076923076925,"(0, 1, 2, 5)",0.40923076923076923,0.01
111000100,0.3384615384615385,"(0, 1, 2, 6)",0.37846153846153846,0.01
111000010,0.3538461538461538,"(0, 1, 2, 7)",0.3938461538461538,0.01
111000001,0.36923076923076925,"(0, 1, 2, 8)",0.40923076923076923,0.01
110110000,0.3076923076923077,"(0, 1, 3, 4)",0.3476923076923077,0.01
110101000,0.32307692307692304,"(0, 1, 3, 5)",0.363076923076923,0.01
110100100,0.24615384615384617,"(0, 1, 3, 6)",0.28615384615384615,0.01
110100010,0.3538461538461538,"(0, 1, 3, 7)",0.3938461538461538,0.01
110100001,0.2615384615384615,"(0, 1, 3, 8)",0.3015384615384615,0.01
110011000,0.3846153846153846,"(0, 1, 4, 5)",0.42461538461538456,0.01
110010100,0.3846153846153846,"(0, 1, 4, 6)",0.42461538461538456,0.01
110010010,0.36923076923076925,"(0, 1, 4, 7)",0.40923076923076923,0.01
110010001,0.4,"(0, 1, 4, 8)",0.44,0.01
110001100,0.3846153846153846,"(0, 1, 5, 6)",0.42461538461538456,0.01
110001010,0.3538461538461538,"(0, 1, 5, 7)",0.3938461538461538,0.01
110001001,0.4,"(0, 1, 5, 8)",0.44,0.01
110000110,0.3384615384615385,"(0, 1, 6, 7)",0.37846153846153846,0.01
110000101,0.3846153846153846,"(0, 1, 6, 8)",0.42461538461538456,0.01
110000011,0.36923076923076925,"(0, 1, 7, 8)",0.40923076923076923,0.01
101110000,0.32307692307692304,"(0, 2, 3, 4)",0.363076923076923,0.01
101101000,0.3076923076923077,"(0, 2, 3, 5)",0.3476923076923077,0.01
101100100,0.29230769230769227,"(0, 2, 3, 6)",0.33230769230769225,0.01
101100010,0.29230769230769227,"(0, 2, 3, 7)",0.33230769230769225,0.01
101100001,0.3076923076923077,"(0, 2, 3, 8)",0.3476923076923077,0.01
101011000,0.3538461538461538,"(0, 2, 4, 5)",0.3938461538461538,0.01
101010100,0.32307692307692304,"(0, 2, 4, 6)",0.363076923076923,0.01
101010010,0.3538461538461538,"(0, 2, 4, 7)",0.3938461538461538,0.01
101010001,0.3538461538461538,"(0, 2, 4, 8)",0.3938461538461538,0.01
101001100,0.3076923076923077,"(0, 2, 5, 6)",0.3476923076923077,0.01
101001010,0.32307692307692304,"(0, 2, 5, 7)",0.363076923076923,0.01
101001001,0.3538461538461538,"(0, 2, 5, 8)",0.3938461538461538,0.01
101000110,0.29230769230769227,"(0, 2, 6, 7)",0.33230769230769225,0.01
101000101,0.3076923076923077,"(0, 2, 6, 8)",0.3476923076923077,0.01
101000011,0.3384615384615385,"(0, 2, 7, 8)",0.37846153846153846,0.01
100111000,0.32307692307692304,"(0, 3, 4, 5)",0.363076923076923,0.01
100110100,0.36923076923076925,"(0, 3, 4, 6)",0.40923076923076923,0.01
100110010,0.36923076923076925,"(0, 3, 4, 7)",0.40923076923076923,0.01
100110001,0.36923076923076925,"(0, 3, 4, 8)",0.40923076923076923,0.01
100101100,0.3076923076923077,"(0, 3, 5, 6)",0.3476923076923077,0.01
100101010,0.36923076923076925,"(0, 3, 5, 7)",0.40923076923076923,0.01
100101001,0.3384615384615385,"(0, 3, 5, 8)",0.37846153846153846,0.01
100100110,0.3076923076923077,"(0, 3, 6, 7)",0.3476923076923077,0.01
100100101,0.36923076923076925,"(0, 3, 6, 8)",0.40923076923076923,0.01
100100011,0.3538461538461538,"(0, 3, 7, 8)",0.3938461538461538,0.01
100011100,0.4,"(0, 4, 5, 6)",0.44,0.01
100011010,0.36923076923076925,"(0, 4, 5, 7)",0.40923076923076923,0.01
100011001,0.4307692307692308,"(0, 4, 5, 8)",0.4707692307692308,0.01
100010110,0.3384615384615385,"(0, 4, 6, 7)",0.37846153846153846,0.01
100010101,0.4,"(0, 4, 6, 8)",0.44,0.01
100010011,0.36923076923076925,"(0, 4, 7, 8)",0.40923076923076923,0.01
100001110,0.36923076923076925,"(0, 5, 6, 7)",0.40923076923076923,0.01
100001101,0.4,"(0, 5, 6, 8)",0.44,0.01
100001011,0.4,"(0, 5, 7, 8)",0.44,0.01
100000111,0.3384615384615385,"(0, 6, 7, 8)",0.37846153846153846,0.01
011110000,0.3538461538461538,"(1, 2, 3, 4)",0.3938461538461538,0.01
011101000,0.3384615384615385,"(1, 2, 3, 5)",0.37846153846153846,0.01
011100100,0.3846153846153846,"(1, 2, 3, 6)",0.42461538461538456,0.01
011100010,0.36923076923076925,"(1, 2, 3, 7)",0.40923076923076923,0.01
011100001,0.3384615384615385,"(1, 2, 3, 8)",0.37846153846153846,0.01
011011000,0.49230769230769234,"(1, 2, 4, 5)",0.5323076923076924,0.01
011010100,0.3846153846153846,"(1, 2, 4, 6)",0.42461538461538456,0.01
011010010,0.4461538461538461,"(1, 2, 4, 7)",0.4861538461538461,0.01
011010001,0.5076923076923077,"(1, 2, 4, 8)",0.5476923076923077,0.01
011001100,0.36923076923076925,"(1, 2, 5, 6)",0.40923076923076923,0.01
011001010,0.4461538461538461,"(1, 2, 5, 7)",0.4861538461538461,0.01
011001001,0.49230769230769234,"(1, 2, 5, 8)",0.5323076923076924,0.01
011000110,0.3538461538461538,"(1, 2, 6, 7)",0.3938461538461538,0.01
011000101,0.36923076923076925,"(1, 2, 6, 8)",0.40923076923076923,0.01
011000011,0.523076923076923,"(1, 2, 7, 8)",0.563076923076923,0.01
010111000,0.36923076923076925,"(1, 3, 4, 5)",0.40923076923076923,0.01
010110100,0.3384615384615385,"(1, 3, 4, 6)",0.37846153846153846,0.01
010110010,0.36923076923076925,"(1, 3, 4, 7)",0.40923076923076923,0.01
010110001,0.36923076923076925,"(1, 3, 4, 8)",0.40923076923076923,0.01
010101100,0.3538461538461538,"(1, 3, 5, 6)",0.3938461538461538,0.01
010101010,0.3538461538461538,"(1, 3, 5, 7)",0.3938461538461538,0.01
010101001,0.36923076923076925,"(1, 3, 5, 8)",0.40923076923076923,0.01
010100110,0.3076923076923077,"(1, 3, 6, 7)",0.3476923076923077,0.01
010100101,0.29230769230769227,"(1, 3, 6, 8)",0.33230769230769225,0.01
010100011,0.3538461538461538,"(1, 3, 7, 8)",0.3938461538461538,0.01
010011100,0.4307692307692308,"(1, 4, 5, 6)",0.4707692307692308,0.01
010011010,0.46153846153846156,"(1, 4, 5, 7)",0.5015384615384616,0.01
010011001,0.5384615384615384,"(1, 4, 5, 8)",0.5784615384615385,0.01
010010110,0.36923076923076925,"(1, 4, 6, 7)",0.40923076923076923,0.01
010010101,0.4307692307692308,"(1, 4, 6, 8)",0.4707692307692308,0.01
010010011,0.5384615384615384,"(1, 4, 7, 8)",0.5784615384615385,0.01
010001110,0.36923076923076925,"(1, 5, 6, 7)",0.40923076923076923,0.01
010001101,0.4461538461538461,"(1, 5, 6, 8)",0.4861538461538461,0.01
010001011,0.4461538461538461,"(1, 5, 7, 8)",0.4861538461538461,0.01
010000111,0.36923076923076925,"(1, 6, 7, 8)",0.40923076923076923,0.01
001111000,0.36923076923076925,"(2, 3, 4, 5)",0.40923076923076923,0.01
001110100,0.3846153846153846,"(2, 3, 4, 6)",0.42461538461538456,0.01
001110010,0.36923076923076925,"(2, 3, 4, 7)",0.40923076923076923,0.01
001110001,0.36923076923076925,"(2, 3, 4, 8)",0.40923076923076923,0.01
001101100,0.3538461538461538,"(2, 3, 5, 6)",0.3938461538461538,0.01
001101010,0.3384615384615385,"(2, 3, 5, 7)",0.37846153846153846,0.01
001101001,0.3384615384615385,"(2, 3, 5, 8)",0.37846153846153846,0.01
001100110,0.3538461538461538,"(2, 3, 6, 7)",0.3938461538461538,0.01
001100101,0.3538461538461538,"(2, 3, 6, 8)",0.3938461538461538,0.01
001100011,0.3384615384615385,"(2, 3, 7, 8)",0.37846153846153846,0.01
001011100,0.3538461538461538,"(2, 4, 5, 6)",0.3938461538461538,0.01
001011010,0.4461538461538461,"(2, 4, 5, 7)",0.4861538461538461,0.01
001011001,0.46153846153846156,"(2, 4, 5, 8)",0.5015384615384616,0.01
001010110,0.3538461538461538,"(2, 4, 6, 7)",0.3938461538461538,0.01
001010101,0.3538461538461538,"(2, 4, 6, 8)",0.3938461538461538,0.01
001010011,0.4307692307692308,"(2, 4, 7, 8)",0.4707692307692308,0.01
001001110,0.32307692307692304,"(2, 5, 6, 7)",0.363076923076923,0.01
001001101,0.3384615384615385,"(2, 5, 6, 8)",0.37846153846153846,0.01
001001011,0.41538461538461535,"(2, 5, 7, 8)",0.45538461538461533,0.01
001000111,0.32307692307692304,"(2, 6, 7, 8)",0.363076923076923,0.01
000111100,0.3384615384615385,"(3, 4, 5, 6)",0.37846153846153846,0.01
000111010,0.3384615384615385,"(3, 4, 5, 7)",0.37846153846153846,0.01
000111001,0.3538461538461538,"(3, 4, 5, 8)",0.3938461538461538,0.01
000110110,0.32307692307692304,"(3, 4, 6, 7)",0.363076923076923,0.01
000110101,0.4,"(3, 4, 6, 8)",0.44,0.01
000110011,0.3538461538461538,"(3, 4, 7, 8)",0.3938461538461538,0.01
000101110,0.3538461538461538,"(3, 5, 6, 7)",0.3938461538461538,0.01
000101101,0.3384615384615385,"(3, 5, 6, 8)",0.37846153846153846,0.01
000101011,0.3846153846153846,"(3, 5, 7, 8)",0.42461538461538456,0.01
000100111,0.32307692307692304,"(3, 6, 7, 8)",0.363076923076923,0.01
000011110,0.3846153846153846,"(4, 5, 6, 7)",0.42461538461538456,0.01
000011101,0.4307692307692308,"(4, 5, 6, 8)",0.4707692307692308,0.01
000011011,0.46153846153846156,"(4, 5, 7, 8)",0.5015384615384616,0.01
000010111,0.36923076923076925,"(4, 6, 7, 8)",0.40923076923076923,0.01
000001111,0.41538461538461535,"(5, 6, 7, 8)",0.45538461538461533,0.01
111110000,0.29230769230769227,"(0, 1, 2, 3, 4)",0.34230769230769226,0.01
111101000,0.27692307692307694,"(0, 1, 2, 3, 5)",0.3269230769230769,0.01
111100100,0.32307692307692304,"(0, 1, 2, 3, 6)",0.37307692307692303,0.01
111100010,0.3076923076923077,"(0, 1, 2, 3, 7)",0.3576923076923077,0.01
111100001,0.27692307692307694,"(0, 1, 2, 3, 8)",0.3269230769230769,0.01
111011000,0.36923076923076925,"(0, 1, 2, 4, 5)",0.41923076923076924,0.01
111010100,0.3538461538461538,"(0, 1, 2, 4, 6)",0.4038461538461538,0.01
111010010,0.36923076923076925,"(0, 1, 2, 4, 7)",0.41923076923076924,0.01
111010001,0.36923076923076925,"(0, 1, 2, 4, 8)",0.41923076923076924,0.01
111001100,0.3538461538461538,"(0, 1, 2, 5, 6)",0.4038461538461538,0.01
111001010,0.3538461538461538,"(0, 1, 2, 5, 7)",0.4038461538461538,0.01
111001001,0.36923076923076925,"(0, 1, 2, 5, 8)",0.41923076923076924,0.01
111000110,0.3384615384615385,"(0, 1, 2, 6, 7)",0.38846153846153847,0.01
111000101,0.3384615384615385,"(0, 1, 2, 6, 8)",0.38846153846153847,0.01
111000011,0.3538461538461538,"(0, 1, 2, 7, 8)",0.4038461538461538,0.01
